,order_id,stock_id,matched_order_dims,order_dims_values,stock_dims_values,order_volume_m3,stock_volume_m3,utilization_ratio
31,O002,S011,"('height_m', 'length_m', 'breadth_m')","[0.91, 1.76, 1.04]","[2.52, 1.76, 1.22]",1.6656640000000003,5.410944,0.307832422586521
30,O002,S011,"('breadth_m', 'length_m', 'height_m')","[1.04, 1.76, 0.91]","[2.52, 1.76, 1.22]",1.665664,5.410944,0.307832422586521
29,O002,S011,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[2.52, 1.76, 1.22]",1.6656640000000003,5.410944,0.307832422586521
28,O002,S011,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[2.52, 1.76, 1.22]",1.665664,5.410944,0.307832422586521
6,O001,S008,"('length_m', 'breadth_m', 'height_m')","[1.66, 1.36, 0.63]","[2.53, 1.52, 1.22]",1.422288,4.691631999999999,0.30315421158351724
292,O010,S012,"('length_m', 'breadth_m', 'height_m')","[2.29, 1.45, 0.59]","[3.96, 1.61, 1.02]",1.9590949999999998,6.503112000000001,0.3012549991450247
293,O010,S014,"('length_m', 'height_m', 'breadth_m')","[2.29, 0.59, 1.45]","[3.7, 1.19, 1.48]",1.9590949999999998,6.516439999999999,0.3006388457501335
101,O005,S009,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[2.52, 1.13, 1.2]",1.021644,3.4171199999999997,0.29897808680994525
70,O004,S004,"('length_m', 'height_m', 'breadth_m')","[2.12, 0.66, 1.29]","[3.66, 1.26, 1.31]",1.8049680000000003,6.041196,0.29877659986532473
128,O006,S002,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[2.51, 1.22, 0.8]",0.6914560000000001,2.44976,0.28225458820455884
129,O006,S002,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[2.51, 1.22, 0.8]",0.691456,2.44976,0.2822545882045588
222,O008,S002,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[2.51, 1.22, 0.8]",0.68614,2.44976,0.28008457971393114
223,O008,S002,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[2.51, 1.22, 0.8]",0.68614,2.44976,0.28008457971393114
78,O004,S012,"('length_m', 'breadth_m', 'height_m')","[2.12, 1.29, 0.66]","[3.96, 1.61, 1.02]",1.8049680000000003,6.503112000000001,0.27755450006089394
80,O004,S014,"('length_m', 'height_m', 'breadth_m')","[2.12, 0.66, 1.29]","[3.7, 1.19, 1.48]",1.8049680000000003,6.516439999999999,0.2769868210249769
17,O002,S004,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[3.66, 1.26, 1.31]",1.6656640000000003,6.041196,0.2757175896958152
16,O002,S004,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.66, 1.26, 1.31]",1.665664,6.041196,0.27571758969581517
2,O001,S006,"('length_m', 'breadth_m', 'height_m')","[1.66, 1.36, 0.63]","[3.13, 1.76, 0.95]",1.422288,5.233359999999999,0.2717733922374918
3,O001,S006,"('breadth_m', 'length_m', 'height_m')","[1.36, 1.66, 0.63]","[3.13, 1.76, 0.95]",1.422288,5.233359999999999,0.2717733922374918
289,O010,S010,"('length_m', 'breadth_m', 'height_m')","[2.29, 1.45, 0.59]","[3.31, 1.49, 1.49]",1.9590949999999998,7.3485309999999995,0.2665968205073912
290,O010,S010,"('length_m', 'height_m', 'breadth_m')","[2.29, 0.59, 1.45]","[3.31, 1.49, 1.49]",1.9590949999999998,7.3485309999999995,0.2665968205073912
9,O001,S011,"('length_m', 'breadth_m', 'height_m')","[1.66, 1.36, 0.63]","[2.52, 1.76, 1.22]",1.422288,5.410944,0.2628539493293592
10,O001,S011,"('breadth_m', 'length_m', 'height_m')","[1.36, 1.66, 0.63]","[2.52, 1.76, 1.22]",1.422288,5.410944,0.2628539493293592
88,O005,S003,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.09, 1.28, 0.99]",1.0216439999999998,3.915648,0.2609131362165342
32,O002,S012,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.96, 1.61, 1.02]",1.665664,6.503112000000001,0.25613337122288526
36,O002,S014,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[3.7, 1.19, 1.48]",1.6656640000000003,6.516439999999999,0.2556095045761183
35,O002,S014,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.7, 1.19, 1.48]",1.665664,6.516439999999999,0.2556095045761183
76,O004,S010,"('length_m', 'height_m', 'breadth_m')","[2.12, 0.66, 1.29]","[3.31, 1.49, 1.49]",1.8049680000000003,7.3485309999999995,0.24562296872667483
75,O004,S010,"('length_m', 'breadth_m', 'height_m')","[2.12, 1.29, 0.66]","[3.31, 1.49, 1.49]",1.8049680000000003,7.3485309999999995,0.24562296872667483
285,O010,S001,"('length_m', 'height_m', 'breadth_m')","[2.29, 0.59, 1.45]","[3.61, 1.53, 1.5]",1.9590949999999998,8.28495,0.23646431179427754
284,O010,S001,"('length_m', 'breadth_m', 'height_m')","[2.29, 1.45, 0.59]","[3.61, 1.53, 1.5]",1.9590949999999998,8.28495,0.23646431179427754
287,O010,S007,"('length_m', 'breadth_m', 'height_m')","[2.29, 1.45, 0.59]","[3.92, 1.54, 1.41]",1.9590949999999998,8.511888,0.23015986582530218
115,O005,S013,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[2.63, 1.34, 1.27]",1.021644,4.475734,0.2282628949799072
114,O005,S013,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[2.63, 1.34, 1.27]",1.0216439999999998,4.475734,0.22826289497990715
121,O005,S015,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[3.02, 1.22, 1.22]",1.021644,4.494968,0.22728615643092454
120,O005,S015,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.02, 1.22, 1.22]",1.0216439999999998,4.494968,0.22728615643092448
27,O002,S010,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[3.31, 1.49, 1.49]",1.6656640000000003,7.3485309999999995,0.2266662547929648
26,O002,S010,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.31, 1.49, 1.49]",1.665664,7.3485309999999995,0.22666625479296476
253,O009,S002,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[2.51, 1.22, 0.8]",0.5478,2.44976,0.2236137417542943
252,O009,S002,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[2.51, 1.22, 0.8]",0.5478,2.44976,0.2236137417542943
11,O001,S012,"('length_m', 'breadth_m', 'height_m')","[1.66, 1.36, 0.63]","[3.96, 1.61, 1.02]",1.422288,6.503112000000001,0.21870882740447956
12,O001,S014,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.63, 1.36]","[3.7, 1.19, 1.48]",1.4222880000000002,6.516439999999999,0.2182615047479913
68,O004,S001,"('length_m', 'breadth_m', 'height_m')","[2.12, 1.29, 0.66]","[3.61, 1.53, 1.5]",1.8049680000000003,8.28495,0.21786106132203578
69,O004,S001,"('length_m', 'height_m', 'breadth_m')","[2.12, 0.66, 1.29]","[3.61, 1.53, 1.5]",1.8049680000000003,8.28495,0.21786106132203578
98,O005,S008,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[2.53, 1.52, 1.22]",1.021644,4.691631999999999,0.2177587670985278
100,O005,S008,"('height_m', 'length_m', 'breadth_m')","[0.59, 1.48, 1.17]","[2.53, 1.52, 1.22]",1.021644,4.691631999999999,0.2177587670985278
99,O005,S008,"('breadth_m', 'length_m', 'height_m')","[1.17, 1.48, 0.59]","[2.53, 1.52, 1.22]",1.0216439999999998,4.691631999999999,0.21775876709852773
97,O005,S008,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[2.53, 1.52, 1.22]",1.0216439999999998,4.691631999999999,0.21775876709852773
72,O004,S007,"('length_m', 'breadth_m', 'height_m')","[2.12, 1.29, 0.66]","[3.92, 1.54, 1.41]",1.8049680000000003,8.511888,0.21205260219589359
73,O004,S007,"('length_m', 'height_m', 'breadth_m')","[2.12, 0.66, 1.29]","[3.92, 1.54, 1.41]",1.8049680000000003,8.511888,0.21205260219589359
41,O003,S002,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[2.51, 1.22, 0.8]",0.510384,2.44976,0.20834040885637775
134,O006,S005,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.97, 1.0, 0.84]",0.6914560000000001,3.3348,0.20734556795010198
135,O006,S005,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.97, 1.0, 0.84]",0.691456,3.3348,0.20734556795010195
228,O008,S005,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.97, 1.0, 0.84]",0.68614,3.3348,0.20575146935348446
229,O008,S005,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.97, 1.0, 0.84]",0.68614,3.3348,0.20575146935348446
148,O006,S009,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[2.52, 1.13, 1.2]",0.6914560000000001,3.4171199999999997,0.20235051739476523
149,O006,S009,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[2.52, 1.13, 1.2]",0.691456,3.4171199999999997,0.2023505173947652
14,O002,S001,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[3.61, 1.53, 1.5]",1.6656640000000003,8.28495,0.20104695864187475
13,O002,S001,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.61, 1.53, 1.5]",1.665664,8.28495,0.20104695864187472
237,O008,S009,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[2.52, 1.13, 1.2]",0.68614,3.4171199999999997,0.20079482137004262
236,O008,S009,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[2.52, 1.13, 1.2]",0.68614,3.4171199999999997,0.20079482137004262
21,O002,S007,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[3.92, 1.54, 1.41]",1.6656640000000003,8.511888,0.19568678535243886
20,O002,S007,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.92, 1.54, 1.41]",1.665664,8.511888,0.19568678535243883
92,O005,S006,"('breadth_m', 'length_m', 'height_m')","[1.17, 1.48, 0.59]","[3.13, 1.76, 0.95]",1.0216439999999998,5.233359999999999,0.19521760398673127
91,O005,S006,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.13, 1.76, 0.95]",1.0216439999999998,5.233359999999999,0.19521760398673127
8,O001,S010,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.63, 1.36]","[3.31, 1.49, 1.49]",1.4222880000000002,7.3485309999999995,0.19354725454652097
7,O001,S010,"('length_m', 'breadth_m', 'height_m')","[1.66, 1.36, 0.63]","[3.31, 1.49, 1.49]",1.422288,7.3485309999999995,0.19354725454652094
109,O005,S011,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[2.52, 1.76, 1.22]",1.021644,5.410944,0.18881067702789014
111,O005,S011,"('height_m', 'length_m', 'breadth_m')","[0.59, 1.48, 1.17]","[2.52, 1.76, 1.22]",1.021644,5.410944,0.18881067702789014
110,O005,S011,"('breadth_m', 'length_m', 'height_m')","[1.17, 1.48, 0.59]","[2.52, 1.76, 1.22]",1.0216439999999998,5.410944,0.18881067702789012
108,O005,S011,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[2.52, 1.76, 1.22]",1.0216439999999998,5.410944,0.18881067702789012
130,O006,S003,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.09, 1.28, 0.99]",0.6914560000000001,3.915648,0.17658788532574943
131,O006,S003,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.09, 1.28, 0.99]",0.691456,3.915648,0.1765878853257494
225,O008,S003,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.09, 1.28, 0.99]",0.68614,3.915648,0.17523025563074107
224,O008,S003,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.09, 1.28, 0.99]",0.68614,3.915648,0.17523025563074107
1,O001,S001,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.63, 1.36]","[3.61, 1.53, 1.5]",1.4222880000000002,8.28495,0.17167128347183752
0,O001,S001,"('length_m', 'breadth_m', 'height_m')","[1.66, 1.36, 0.63]","[3.61, 1.53, 1.5]",1.422288,8.28495,0.1716712834718375
90,O005,S004,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[3.66, 1.26, 1.31]",1.021644,6.041196,0.169112871027525
89,O005,S004,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.66, 1.26, 1.31]",1.0216439999999998,6.041196,0.16911287102752498
5,O001,S007,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.63, 1.36]","[3.92, 1.54, 1.41]",1.4222880000000002,8.511888,0.1670943038724194
4,O001,S007,"('length_m', 'breadth_m', 'height_m')","[1.66, 1.36, 0.63]","[3.92, 1.54, 1.41]",1.422288,8.511888,0.16709430387241936
258,O009,S005,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.97, 1.0, 0.84]",0.5478,3.3348,0.16426772220223101
259,O009,S005,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.97, 1.0, 0.84]",0.5478,3.3348,0.16426772220223101
268,O009,S009,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[2.52, 1.13, 1.2]",0.5478,3.4171199999999997,0.16031043685910942
269,O009,S009,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[2.52, 1.13, 1.2]",0.5478,3.4171199999999997,0.16031043685910942
112,O005,S012,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.96, 1.61, 1.02]",1.0216439999999998,6.503112000000001,0.15710078497802277
113,O005,S012,"('breadth_m', 'length_m', 'height_m')","[1.17, 1.48, 0.59]","[3.96, 1.61, 1.02]",1.0216439999999998,6.503112000000001,0.15710078497802277
117,O005,S014,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[3.7, 1.19, 1.48]",1.021644,6.516439999999999,0.15677946854417443
119,O005,S014,"('height_m', 'breadth_m', 'length_m')","[0.59, 1.17, 1.48]","[3.7, 1.19, 1.48]",1.0216439999999998,6.516439999999999,0.1567794685441744
118,O005,S014,"('breadth_m', 'height_m', 'length_m')","[1.17, 0.59, 1.48]","[3.7, 1.19, 1.48]",1.0216439999999998,6.516439999999999,0.1567794685441744
116,O005,S014,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.7, 1.19, 1.48]",1.0216439999999998,6.516439999999999,0.1567794685441744
178,O007,S002,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[2.51, 1.22, 0.8]",0.3814720000000001,2.44976,0.15571811116190978
164,O006,S013,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[2.63, 1.34, 1.27]",0.6914560000000001,4.475734,0.15448996745561736
165,O006,S013,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[2.63, 1.34, 1.27]",0.691456,4.475734,0.15448996745561733
170,O006,S015,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.02, 1.22, 1.22]",0.6914560000000001,4.494968,0.1538289037875242
171,O006,S015,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.02, 1.22, 1.22]",0.691456,4.494968,0.15382890378752417
245,O008,S013,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[2.63, 1.34, 1.27]",0.68614,4.475734,0.15330222931032095
244,O008,S013,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[2.63, 1.34, 1.27]",0.68614,4.475734,0.15330222931032095
47,O003,S005,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.97, 1.0, 0.84]",0.5103840000000001,3.3348,0.15304785894206552
46,O003,S005,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.97, 1.0, 0.84]",0.510384,3.3348,0.1530478589420655
248,O008,S015,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.02, 1.22, 1.22]",0.68614,4.494968,0.15264624798218807
249,O008,S015,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.02, 1.22, 1.22]",0.68614,4.494968,0.15264624798218807
55,O003,S009,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[2.52, 1.13, 1.2]",0.5103840000000001,3.4171199999999997,0.14936086529006887
54,O003,S009,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[2.52, 1.13, 1.2]",0.510384,3.4171199999999997,0.14936086529006884
144,O006,S008,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[2.53, 1.52, 1.22]",0.6914560000000001,4.691631999999999,0.14738069823038127
146,O006,S008,"('breadth_m', 'length_m', 'height_m')","[0.74, 1.46, 0.64]","[2.53, 1.52, 1.22]",0.6914560000000001,4.691631999999999,0.14738069823038127
147,O006,S008,"('height_m', 'length_m', 'breadth_m')","[0.64, 1.46, 0.74]","[2.53, 1.52, 1.22]",0.691456,4.691631999999999,0.14738069823038125
145,O006,S008,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[2.53, 1.52, 1.22]",0.691456,4.691631999999999,0.14738069823038125
235,O008,S008,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[2.53, 1.52, 1.22]",0.68614,4.691631999999999,0.14624761703390207
234,O008,S008,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[2.53, 1.52, 1.22]",0.68614,4.691631999999999,0.14624761703390207
255,O009,S003,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.09, 1.28, 0.99]",0.5478,3.915648,0.1399002157497303
254,O009,S003,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.09, 1.28, 0.99]",0.5478,3.915648,0.1399002157497303
106,O005,S010,"('height_m', 'length_m', 'breadth_m')","[0.59, 1.48, 1.17]","[3.31, 1.49, 1.49]",1.021644,7.3485309999999995,0.1390269701522658
103,O005,S010,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[3.31, 1.49, 1.49]",1.021644,7.3485309999999995,0.1390269701522658
105,O005,S010,"('breadth_m', 'height_m', 'length_m')","[1.17, 0.59, 1.48]","[3.31, 1.49, 1.49]",1.0216439999999998,7.3485309999999995,0.13902697015226578
104,O005,S010,"('breadth_m', 'length_m', 'height_m')","[1.17, 1.48, 0.59]","[3.31, 1.49, 1.49]",1.0216439999999998,7.3485309999999995,0.13902697015226578
107,O005,S010,"('height_m', 'breadth_m', 'length_m')","[0.59, 1.17, 1.48]","[3.31, 1.49, 1.49]",1.0216439999999998,7.3485309999999995,0.13902697015226578
102,O005,S010,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.31, 1.49, 1.49]",1.0216439999999998,7.3485309999999995,0.13902697015226578
136,O006,S006,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.13, 1.76, 0.95]",0.6914560000000001,5.233359999999999,0.13212467707170922
138,O006,S006,"('breadth_m', 'length_m', 'height_m')","[0.74, 1.46, 0.64]","[3.13, 1.76, 0.95]",0.6914560000000001,5.233359999999999,0.13212467707170922
137,O006,S006,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.13, 1.76, 0.95]",0.691456,5.233359999999999,0.1321246770717092
139,O006,S006,"('height_m', 'length_m', 'breadth_m')","[0.64, 1.46, 0.74]","[3.13, 1.76, 0.95]",0.691456,5.233359999999999,0.1321246770717092
231,O008,S006,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.13, 1.76, 0.95]",0.68614,5.233359999999999,0.13110888606937035
230,O008,S006,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.13, 1.76, 0.95]",0.68614,5.233359999999999,0.13110888606937035
43,O003,S003,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.09, 1.28, 0.99]",0.5103840000000001,3.915648,0.13034470922820438
42,O003,S003,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.09, 1.28, 0.99]",0.510384,3.915648,0.13034470922820435
158,O006,S011,"('breadth_m', 'length_m', 'height_m')","[0.74, 1.46, 0.64]","[2.52, 1.76, 1.22]",0.6914560000000001,5.410944,0.1277884228703901
156,O006,S011,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[2.52, 1.76, 1.22]",0.6914560000000001,5.410944,0.1277884228703901
159,O006,S011,"('height_m', 'length_m', 'breadth_m')","[0.64, 1.46, 0.74]","[2.52, 1.76, 1.22]",0.691456,5.410944,0.12778842287039008
157,O006,S011,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[2.52, 1.76, 1.22]",0.691456,5.410944,0.12778842287039008
240,O008,S011,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[2.52, 1.76, 1.22]",0.68614,5.410944,0.12680596953137938
241,O008,S011,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[2.52, 1.76, 1.22]",0.68614,5.410944,0.12680596953137938
82,O005,S001,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[3.61, 1.53, 1.5]",1.021644,8.28495,0.12331323665200151
85,O005,S001,"('height_m', 'length_m', 'breadth_m')","[0.59, 1.48, 1.17]","[3.61, 1.53, 1.5]",1.021644,8.28495,0.12331323665200151
81,O005,S001,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.61, 1.53, 1.5]",1.0216439999999998,8.28495,0.12331323665200149
86,O005,S001,"('height_m', 'breadth_m', 'length_m')","[0.59, 1.17, 1.48]","[3.61, 1.53, 1.5]",1.0216439999999998,8.28495,0.12331323665200149
84,O005,S001,"('breadth_m', 'height_m', 'length_m')","[1.17, 0.59, 1.48]","[3.61, 1.53, 1.5]",1.0216439999999998,8.28495,0.12331323665200149
83,O005,S001,"('breadth_m', 'length_m', 'height_m')","[1.17, 1.48, 0.59]","[3.61, 1.53, 1.5]",1.0216439999999998,8.28495,0.12331323665200149
278,O009,S013,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[2.63, 1.34, 1.27]",0.5478,4.475734,0.12239333257963944
279,O009,S013,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[2.63, 1.34, 1.27]",0.5478,4.475734,0.12239333257963944
283,O009,S015,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.02, 1.22, 1.22]",0.5478,4.494968,0.12186961064016472
282,O009,S015,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.02, 1.22, 1.22]",0.5478,4.494968,0.12186961064016472
96,O005,S007,"('height_m', 'length_m', 'breadth_m')","[0.59, 1.48, 1.17]","[3.92, 1.54, 1.41]",1.021644,8.511888,0.12002554544890627
94,O005,S007,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.59, 1.17]","[3.92, 1.54, 1.41]",1.021644,8.511888,0.12002554544890627
93,O005,S007,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[3.92, 1.54, 1.41]",1.0216439999999998,8.511888,0.12002554544890624
95,O005,S007,"('breadth_m', 'length_m', 'height_m')","[1.17, 1.48, 0.59]","[3.92, 1.54, 1.41]",1.0216439999999998,8.511888,0.12002554544890624
267,O009,S008,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[2.53, 1.52, 1.22]",0.5478,4.691631999999999,0.11676107589001014
