order_id,stock_id,matched_order_dims,order_dims_values,stock_dims_values
O001,S008,"('breadth_m', 'height_m', 'length_m')","[1.35, 0.87, 1.34]","[3.68, 1.48, 1.48]"
O001,S008,"('height_m', 'length_m', 'breadth_m')","[0.87, 1.34, 1.35]","[3.68, 1.48, 1.48]"
O001,S008,"('height_m', 'breadth_m', 'length_m')","[0.87, 1.35, 1.34]","[3.68, 1.48, 1.48]"
O001,S010,"('length_m', 'breadth_m', 'height_m')","[1.34, 1.35, 0.87]","[2.21, 1.63, 1.11]"
O001,S010,"('breadth_m', 'length_m', 'height_m')","[1.35, 1.34, 0.87]","[2.21, 1.63, 1.11]"
O001,S011,"('length_m', 'breadth_m', 'height_m')","[1.34, 1.35, 0.87]","[3.81, 1.4, 0.88]"
O001,S011,"('breadth_m', 'length_m', 'height_m')","[1.35, 1.34, 0.87]","[3.81, 1.4, 0.88]"
O001,S013,"('length_m', 'breadth_m', 'height_m')","[1.34, 1.35, 0.87]","[3.53, 1.89, 1.33]"
O001,S013,"('breadth_m', 'length_m', 'height_m')","[1.35, 1.34, 0.87]","[3.53, 1.89, 1.33]"
O001,S015,"('length_m', 'breadth_m', 'height_m')","[1.34, 1.35, 0.87]","[3.32, 1.6, 1.33]"
O001,S015,"('breadth_m', 'length_m', 'height_m')","[1.35, 1.34, 0.87]","[3.32, 1.6, 1.33]"
O002,S001,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[2.75, 1.56, 1.47]"
O002,S001,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[2.75, 1.56, 1.47]"
O002,S002,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[2.79, 1.28, 1.17]"
O002,S002,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[2.79, 1.28, 1.17]"
O002,S003,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.89, 1.04, 1.15]"
O002,S003,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.89, 1.04, 1.15]"
O002,S004,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.12, 1.06, 1.41]"
O002,S004,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.12, 1.06, 1.41]"
O002,S005,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.36, 2.0, 1.34]"
O002,S005,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.36, 2.0, 1.34]"
O002,S005,"('breadth_m', 'length_m', 'height_m')","[0.51, 1.68, 0.73]","[3.36, 2.0, 1.34]"
O002,S005,"('height_m', 'length_m', 'breadth_m')","[0.73, 1.68, 0.51]","[3.36, 2.0, 1.34]"
O002,S006,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.62, 1.39, 0.82]"
O002,S006,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.62, 1.39, 0.82]"
O002,S007,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.83, 1.94, 1.28]"
O002,S007,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.83, 1.94, 1.28]"
O002,S007,"('breadth_m', 'length_m', 'height_m')","[0.51, 1.68, 0.73]","[3.83, 1.94, 1.28]"
O002,S007,"('height_m', 'length_m', 'breadth_m')","[0.73, 1.68, 0.51]","[3.83, 1.94, 1.28]"
O002,S008,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.68, 1.48, 1.48]"
O002,S008,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.68, 1.48, 1.48]"
O002,S009,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.42, 1.66, 0.81]"
O002,S009,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.42, 1.66, 0.81]"
O002,S010,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[2.21, 1.63, 1.11]"
O002,S010,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[2.21, 1.63, 1.11]"
O002,S011,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.81, 1.4, 0.88]"
O002,S011,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.81, 1.4, 0.88]"
O002,S012,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.54, 1.52, 0.86]"
O002,S012,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.54, 1.52, 0.86]"
O002,S013,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.53, 1.89, 1.33]"
O002,S013,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.53, 1.89, 1.33]"
O002,S013,"('breadth_m', 'length_m', 'height_m')","[0.51, 1.68, 0.73]","[3.53, 1.89, 1.33]"
O002,S013,"('height_m', 'length_m', 'breadth_m')","[0.73, 1.68, 0.51]","[3.53, 1.89, 1.33]"
O002,S014,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.41, 1.25, 0.84]"
O002,S014,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.41, 1.25, 0.84]"
O002,S015,"('length_m', 'breadth_m', 'height_m')","[1.68, 0.51, 0.73]","[3.32, 1.6, 1.33]"
O002,S015,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.73, 0.51]","[3.32, 1.6, 1.33]"
O003,S001,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[2.75, 1.56, 1.47]"
O003,S001,"('length_m', 'height_m', 'breadth_m')","[1.7, 0.66, 1.4]","[2.75, 1.56, 1.47]"
O003,S004,"('length_m', 'height_m', 'breadth_m')","[1.7, 0.66, 1.4]","[3.12, 1.06, 1.41]"
O003,S005,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[3.36, 2.0, 1.34]"
O003,S005,"('breadth_m', 'length_m', 'height_m')","[1.4, 1.7, 0.66]","[3.36, 2.0, 1.34]"
O003,S007,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[3.83, 1.94, 1.28]"
O003,S007,"('breadth_m', 'length_m', 'height_m')","[1.4, 1.7, 0.66]","[3.83, 1.94, 1.28]"
O003,S008,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[3.68, 1.48, 1.48]"
O003,S008,"('length_m', 'height_m', 'breadth_m')","[1.7, 0.66, 1.4]","[3.68, 1.48, 1.48]"
O003,S009,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[3.42, 1.66, 0.81]"
O003,S010,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[2.21, 1.63, 1.11]"
O003,S011,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[3.81, 1.4, 0.88]"
O003,S012,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[3.54, 1.52, 0.86]"
O003,S013,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[3.53, 1.89, 1.33]"
O003,S013,"('breadth_m', 'length_m', 'height_m')","[1.4, 1.7, 0.66]","[3.53, 1.89, 1.33]"
O003,S015,"('length_m', 'breadth_m', 'height_m')","[1.7, 1.4, 0.66]","[3.32, 1.6, 1.33]"
O004,S001,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[2.75, 1.56, 1.47]"
O004,S001,"('length_m', 'height_m', 'breadth_m')","[2.41, 0.64, 1.25]","[2.75, 1.56, 1.47]"
O004,S002,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[2.79, 1.28, 1.17]"
O004,S004,"('length_m', 'height_m', 'breadth_m')","[2.41, 0.64, 1.25]","[3.12, 1.06, 1.41]"
O004,S005,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.36, 2.0, 1.34]"
O004,S005,"('length_m', 'height_m', 'breadth_m')","[2.41, 0.64, 1.25]","[3.36, 2.0, 1.34]"
O004,S006,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.62, 1.39, 0.82]"
O004,S007,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.83, 1.94, 1.28]"
O004,S007,"('length_m', 'height_m', 'breadth_m')","[2.41, 0.64, 1.25]","[3.83, 1.94, 1.28]"
O004,S008,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.68, 1.48, 1.48]"
O004,S008,"('length_m', 'height_m', 'breadth_m')","[2.41, 0.64, 1.25]","[3.68, 1.48, 1.48]"
O004,S009,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.42, 1.66, 0.81]"
O004,S011,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.81, 1.4, 0.88]"
O004,S012,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.54, 1.52, 0.86]"
O004,S013,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.53, 1.89, 1.33]"
O004,S013,"('length_m', 'height_m', 'breadth_m')","[2.41, 0.64, 1.25]","[3.53, 1.89, 1.33]"
O004,S014,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.41, 1.25, 0.84]"
O004,S015,"('length_m', 'breadth_m', 'height_m')","[2.41, 1.25, 0.64]","[3.32, 1.6, 1.33]"
O004,S015,"('length_m', 'height_m', 'breadth_m')","[2.41, 0.64, 1.25]","[3.32, 1.6, 1.33]"
O005,S001,"('length_m', 'breadth_m', 'height_m')","[2.45, 1.48, 0.55]","[2.75, 1.56, 1.47]"
O005,S005,"('length_m', 'breadth_m', 'height_m')","[2.45, 1.48, 0.55]","[3.36, 2.0, 1.34]"
O005,S007,"('length_m', 'breadth_m', 'height_m')","[2.45, 1.48, 0.55]","[3.83, 1.94, 1.28]"
O005,S008,"('length_m', 'breadth_m', 'height_m')","[2.45, 1.48, 0.55]","[3.68, 1.48, 1.48]"
O005,S008,"('length_m', 'height_m', 'breadth_m')","[2.45, 0.55, 1.48]","[3.68, 1.48, 1.48]"
O005,S009,"('length_m', 'breadth_m', 'height_m')","[2.45, 1.48, 0.55]","[3.42, 1.66, 0.81]"
O005,S012,"('length_m', 'breadth_m', 'height_m')","[2.45, 1.48, 0.55]","[3.54, 1.52, 0.86]"
O005,S013,"('length_m', 'breadth_m', 'height_m')","[2.45, 1.48, 0.55]","[3.53, 1.89, 1.33]"
O005,S015,"('length_m', 'breadth_m', 'height_m')","[2.45, 1.48, 0.55]","[3.32, 1.6, 1.33]"
O006,S001,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[2.75, 1.56, 1.47]"
O006,S001,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[2.75, 1.56, 1.47]"
O006,S002,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[2.79, 1.28, 1.17]"
O006,S002,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[2.79, 1.28, 1.17]"
O006,S003,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[3.89, 1.04, 1.15]"
O006,S003,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.89, 1.04, 1.15]"
O006,S004,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[3.12, 1.06, 1.41]"
O006,S004,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.12, 1.06, 1.41]"
O006,S005,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[3.36, 2.0, 1.34]"
O006,S005,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.36, 2.0, 1.34]"
O006,S005,"('breadth_m', 'length_m', 'height_m')","[0.51, 1.71, 0.95]","[3.36, 2.0, 1.34]"
O006,S005,"('height_m', 'length_m', 'breadth_m')","[0.95, 1.71, 0.51]","[3.36, 2.0, 1.34]"
O006,S006,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.62, 1.39, 0.82]"
O006,S007,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[3.83, 1.94, 1.28]"
O006,S007,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.83, 1.94, 1.28]"
O006,S007,"('breadth_m', 'length_m', 'height_m')","[0.51, 1.71, 0.95]","[3.83, 1.94, 1.28]"
O006,S007,"('height_m', 'length_m', 'breadth_m')","[0.95, 1.71, 0.51]","[3.83, 1.94, 1.28]"
O006,S008,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[3.68, 1.48, 1.48]"
O006,S008,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.68, 1.48, 1.48]"
O006,S009,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.42, 1.66, 0.81]"
O006,S010,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[2.21, 1.63, 1.11]"
O006,S010,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[2.21, 1.63, 1.11]"
O006,S011,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.81, 1.4, 0.88]"
O006,S012,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.54, 1.52, 0.86]"
O006,S013,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[3.53, 1.89, 1.33]"
O006,S013,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.53, 1.89, 1.33]"
O006,S013,"('breadth_m', 'length_m', 'height_m')","[0.51, 1.71, 0.95]","[3.53, 1.89, 1.33]"
O006,S013,"('height_m', 'length_m', 'breadth_m')","[0.95, 1.71, 0.51]","[3.53, 1.89, 1.33]"
O006,S014,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.41, 1.25, 0.84]"
O006,S015,"('length_m', 'breadth_m', 'height_m')","[1.71, 0.51, 0.95]","[3.32, 1.6, 1.33]"
O006,S015,"('length_m', 'height_m', 'breadth_m')","[1.71, 0.95, 0.51]","[3.32, 1.6, 1.33]"
O007,S001,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[2.75, 1.56, 1.47]"
O007,S001,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[2.75, 1.56, 1.47]"
O007,S001,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[2.75, 1.56, 1.47]"
O007,S001,"('height_m', 'length_m', 'breadth_m')","[0.3, 1.48, 0.84]","[2.75, 1.56, 1.47]"
O007,S002,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[2.79, 1.28, 1.17]"
O007,S002,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[2.79, 1.28, 1.17]"
O007,S003,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.89, 1.04, 1.15]"
O007,S003,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.89, 1.04, 1.15]"
O007,S004,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.12, 1.06, 1.41]"
O007,S004,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.12, 1.06, 1.41]"
O007,S005,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.36, 2.0, 1.34]"
O007,S005,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.36, 2.0, 1.34]"
O007,S005,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[3.36, 2.0, 1.34]"
O007,S005,"('height_m', 'length_m', 'breadth_m')","[0.3, 1.48, 0.84]","[3.36, 2.0, 1.34]"
O007,S006,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.62, 1.39, 0.82]"
O007,S007,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.83, 1.94, 1.28]"
O007,S007,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.83, 1.94, 1.28]"
O007,S007,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[3.83, 1.94, 1.28]"
O007,S007,"('height_m', 'length_m', 'breadth_m')","[0.3, 1.48, 0.84]","[3.83, 1.94, 1.28]"
O007,S008,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.68, 1.48, 1.48]"
O007,S008,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.68, 1.48, 1.48]"
O007,S008,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[3.68, 1.48, 1.48]"
O007,S008,"('breadth_m', 'height_m', 'length_m')","[0.84, 0.3, 1.48]","[3.68, 1.48, 1.48]"
O007,S008,"('height_m', 'length_m', 'breadth_m')","[0.3, 1.48, 0.84]","[3.68, 1.48, 1.48]"
O007,S008,"('height_m', 'breadth_m', 'length_m')","[0.3, 0.84, 1.48]","[3.68, 1.48, 1.48]"
O007,S009,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.42, 1.66, 0.81]"
O007,S009,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[3.42, 1.66, 0.81]"
O007,S010,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[2.21, 1.63, 1.11]"
O007,S010,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[2.21, 1.63, 1.11]"
O007,S010,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[2.21, 1.63, 1.11]"
O007,S010,"('height_m', 'length_m', 'breadth_m')","[0.3, 1.48, 0.84]","[2.21, 1.63, 1.11]"
O007,S011,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.81, 1.4, 0.88]"
O007,S011,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.81, 1.4, 0.88]"
O007,S012,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.54, 1.52, 0.86]"
O007,S012,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.54, 1.52, 0.86]"
O007,S012,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[3.54, 1.52, 0.86]"
O007,S012,"('height_m', 'length_m', 'breadth_m')","[0.3, 1.48, 0.84]","[3.54, 1.52, 0.86]"
O007,S013,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.53, 1.89, 1.33]"
O007,S013,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.53, 1.89, 1.33]"
O007,S013,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[3.53, 1.89, 1.33]"
O007,S013,"('height_m', 'length_m', 'breadth_m')","[0.3, 1.48, 0.84]","[3.53, 1.89, 1.33]"
O007,S014,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.41, 1.25, 0.84]"
O007,S014,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.41, 1.25, 0.84]"
O007,S015,"('length_m', 'breadth_m', 'height_m')","[1.48, 0.84, 0.3]","[3.32, 1.6, 1.33]"
O007,S015,"('length_m', 'height_m', 'breadth_m')","[1.48, 0.3, 0.84]","[3.32, 1.6, 1.33]"
O007,S015,"('breadth_m', 'length_m', 'height_m')","[0.84, 1.48, 0.3]","[3.32, 1.6, 1.33]"
O007,S015,"('height_m', 'length_m', 'breadth_m')","[0.3, 1.48, 0.84]","[3.32, 1.6, 1.33]"
O008,S001,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[2.75, 1.56, 1.47]"
O008,S001,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[2.75, 1.56, 1.47]"
O008,S002,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[2.79, 1.28, 1.17]"
O008,S002,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[2.79, 1.28, 1.17]"
O008,S003,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.89, 1.04, 1.15]"
O008,S003,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[3.89, 1.04, 1.15]"
O008,S004,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.12, 1.06, 1.41]"
O008,S004,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[3.12, 1.06, 1.41]"
O008,S005,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.36, 2.0, 1.34]"
O008,S005,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[3.36, 2.0, 1.34]"
O008,S006,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.62, 1.39, 0.82]"
O008,S007,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.83, 1.94, 1.28]"
O008,S007,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[3.83, 1.94, 1.28]"
O008,S008,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.68, 1.48, 1.48]"
O008,S008,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[3.68, 1.48, 1.48]"
O008,S009,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.42, 1.66, 0.81]"
O008,S010,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[2.21, 1.63, 1.11]"
O008,S010,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[2.21, 1.63, 1.11]"
O008,S011,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.81, 1.4, 0.88]"
O008,S012,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.54, 1.52, 0.86]"
O008,S013,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.53, 1.89, 1.33]"
O008,S013,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[3.53, 1.89, 1.33]"
O008,S014,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.41, 1.25, 0.84]"
O008,S015,"('length_m', 'breadth_m', 'height_m')","[2.16, 0.94, 0.3]","[3.32, 1.6, 1.33]"
O008,S015,"('length_m', 'height_m', 'breadth_m')","[2.16, 0.3, 0.94]","[3.32, 1.6, 1.33]"
O009,S001,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[2.75, 1.56, 1.47]"
O009,S001,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.52, 1.19]","[2.75, 1.56, 1.47]"
O009,S002,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[2.79, 1.28, 1.17]"
O009,S004,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.52, 1.19]","[3.12, 1.06, 1.41]"
O009,S005,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.36, 2.0, 1.34]"
O009,S005,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.52, 1.19]","[3.36, 2.0, 1.34]"
O009,S005,"('breadth_m', 'length_m', 'height_m')","[1.19, 1.68, 0.52]","[3.36, 2.0, 1.34]"
O009,S005,"('height_m', 'length_m', 'breadth_m')","[0.52, 1.68, 1.19]","[3.36, 2.0, 1.34]"
O009,S006,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.62, 1.39, 0.82]"
O009,S007,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.83, 1.94, 1.28]"
O009,S007,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.52, 1.19]","[3.83, 1.94, 1.28]"
O009,S007,"('breadth_m', 'length_m', 'height_m')","[1.19, 1.68, 0.52]","[3.83, 1.94, 1.28]"
O009,S007,"('height_m', 'length_m', 'breadth_m')","[0.52, 1.68, 1.19]","[3.83, 1.94, 1.28]"
O009,S008,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.68, 1.48, 1.48]"
O009,S008,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.52, 1.19]","[3.68, 1.48, 1.48]"
O009,S009,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.42, 1.66, 0.81]"
O009,S010,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[2.21, 1.63, 1.11]"
O009,S011,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.81, 1.4, 0.88]"
O009,S012,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.54, 1.52, 0.86]"
O009,S013,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.53, 1.89, 1.33]"
O009,S013,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.52, 1.19]","[3.53, 1.89, 1.33]"
